AsOfDate,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GLBalance,iHUbBalance,BalanceDifference,MatchStatus
2023-01-09,00001,4016334,1960,ALL,Deferred Costs,Deferred Costs,31538,64438,-32900,Break
2023-01-12,00004,5393606,3450,AFN,Deferred Costs,Deferred Costs,94443,58872,35571,Break
2023-01-09,00002,2682084,5426,INR,Deferred Costs,Principal,81405,73348,8057,Break
2023-01-03,00004,4604297,3232,AFN,Principal,Principal,116481,54268,62213,Break
2023-01-23,00001,9953389,2562,EUR,Principal,Deferred Costs,88502,113904,-25402,Break
2023-01-24,00005,8396105,1190,ALL,Deferred Costs,Deferred Costs,103643,111377,-7734,Break
2023-01-24,00002,9657445,5913,EUR,Deferred Costs,Principal,60068,68404,-8336,Break
2023-01-29,00003,9654393,5344,ISO-4217,Deferred Costs,Deferred Costs,70866,68980,1886,Break
2023-01-10,00006,5402909,6295,ALL,Principal,Principal,104087,111510,-7423,Break
2023-01-07,00006,3911479,1242,EUR,Deferred Costs,Principal,71962,87648,-15686,Break
2023-01-17,00006,3424629,1141,ISO-4217,Principal,Deferred Costs,115700,116847,-1147,Break
2023-01-14,00001,8396212,1026,ALL,Principal,Deferred Costs,78456,86021,-7565,Break
2023-01-08,00001,9443184,1078,USD,Principal,Principal,41941,66506,-24565,Break
2023-01-22,00006,9112008,1441,USD,Principal,Deferred Costs,57588,67782,-10194,Break
2023-01-16,00001,8760013,3168,ISO-4217,Principal,Principal,58347,97527,-39180,Break
2023-01-30,00001,4708767,5253,USD,Principal,Deferred Costs,101583,71665,29918,Break
2023-01-08,00004,5939754,4395,ISO-4217,Principal,Principal,37980,79498,-41518,Break
2023-01-26,00006,9167908,2868,INR,Principal,Deferred Costs,71204,70041,1163,Break
2023-01-07,00005,2089649,2120,AFN,Principal,Principal,111316,104191,7125,Break
2023-01-23,00001,8730100,5670,USD,Deferred Costs,Principal,60685,105142,-44457,Break
2023-01-26,00006,7846918,2479,ALL,Deferred Costs,Principal,62158,101226,-39068,Break
2023-01-23,00004,6666303,4782,ALL,Principal,Principal,114877,91353,23524,Break
2023-01-09,00005,2561100,4058,INR,Principal,Deferred Costs,95330,57429,37901,Break
2023-01-01,00004,5057548,3053,USD,Deferred Costs,Principal,57701,119435,-61734,Break
2023-01-21,00004,1744855,5802,INR,Principal,Principal,69583,56279,13304,Break
2023-01-22,00004,6921513,3764,INR,Principal,Deferred Costs,37106,83360,-46254,Break
2023-01-10,00005,4042594,1476,INR,Principal,Principal,96989,39886,57103,Break
2023-01-19,00004,2134527,3101,ISO-4217,Deferred Costs,Principal,95718,71283,24435,Break
2023-01-15,00002,2034512,4947,INR,Principal,Deferred Costs,84949,42240,42709,Break
2023-01-04,00001,8347981,2207,EUR,Deferred Costs,Principal,77447,76128,1319,Break
2023-01-12,00003,8656116,3920,INR,Principal,Deferred Costs,102578,68940,33638,Break
2023-01-24,00001,4187372,1369,EUR,Principal,Principal,30995,117017,-86022,Break
2023-01-30,00005,5720304,3062,INR,Principal,Deferred Costs,54151,56742,-2591,Break
2023-01-01,00002,6939729,5915,AFN,Principal,Principal,97615,51908,45707,Break
2023-01-29,00002,3202086,6776,INR,Principal,Deferred Costs,93904,70869,23035,Break
2023-01-06,00006,6158958,1695,INR,Deferred Costs,Principal,43574,113984,-70410,Break
2023-01-10,00001,5812926,5712,EUR,Principal,Principal,55409,44656,10753,Break
2023-01-03,00005,6300789,6954,AFN,Principal,Deferred Costs,118158,93075,25083,Break
2023-01-09,00005,3076004,1470,AFN,Principal,Principal,47116,71360,-24244,Break
2023-01-11,00005,8828877,4427,ALL,Principal,Deferred Costs,89456,49333,40123,Break
2023-01-18,00006,8266673,3845,EUR,Deferred Costs,Principal,80329,75415,4914,Break
2023-01-27,00005,5767671,6768,ALL,Principal,Principal,106880,113550,-6670,Break
2023-01-19,00004,9578582,2492,EUR,Deferred Costs,Principal,69866,34742,35124,Break
2023-01-19,00003,8694219,5210,ALL,Deferred Costs,Principal,63734,44869,18865,Break
2023-01-20,00005,4334292,5344,AFN,Principal,Principal,110310,55279,55031,Break
2023-01-05,00006,2693635,3359,ALL,Deferred Costs,Deferred Costs,75221,58472,16749,Break
2023-01-22,00004,1259479,4932,ALL,Deferred Costs,Principal,33278,73529,-40251,Break
2023-01-12,00005,9555928,4088,ISO-4217,Deferred Costs,Deferred Costs,69260,75560,-6300,Break
2023-01-17,00001,5450775,5849,INR,Deferred Costs,Deferred Costs,86941,108453,-21512,Break
2023-01-19,00002,9620847,1703,EUR,Deferred Costs,Deferred Costs,97448,33417,64031,Break
2023-01-09,00003,6623342,3964,EUR,Deferred Costs,Deferred Costs,55552,69372,-13820,Break
2023-01-18,00001,1120479,2656,EUR,Deferred Costs,Deferred Costs,51200,66357,-15157,Break
2023-01-27,00001,3824247,6666,USD,Deferred Costs,Deferred Costs,38997,88678,-49681,Break
2023-01-30,00005,4206023,4087,USD,Principal,Principal,31191,72603,-41412,Break
2023-01-11,00001,4101699,3627,AFN,Principal,Deferred Costs,70999,114168,-43169,Break
2023-01-10,00006,9911336,3073,EUR,Principal,Principal,79041,85523,-6482,Break
2023-01-12,00003,9127365,5896,ALL,Deferred Costs,Principal,87560,82289,5271,Break
2023-01-03,00003,4957825,6718,EUR,Deferred Costs,Principal,46168,115434,-69266,Break
2023-01-21,00002,6215072,3978,EUR,Deferred Costs,Principal,66844,88536,-21692,Break
2023-01-24,00003,8755528,2970,ISO-4217,Principal,Deferred Costs,117265,83794,33471,Break
2023-01-08,00001,9056345,3625,INR,Principal,Deferred Costs,97509,48764,48745,Break
2023-01-08,00005,8278460,5663,EUR,Deferred Costs,Deferred Costs,72007,52872,19135,Break
2023-01-10,00002,8737341,4792,INR,Principal,Deferred Costs,36764,83145,-46381,Break
2023-01-20,00006,4473245,5047,INR,Deferred Costs,Principal,31269,69950,-38681,Break
2023-01-09,00006,3373119,3731,USD,Principal,Principal,45482,75136,-29654,Break
2023-01-09,00003,6273969,6083,INR,Principal,Principal,46375,47560,-1185,Break
2023-01-09,00002,7795651,1511,AFN,Principal,Principal,58842,63155,-4313,Break
2023-01-10,00006,9820073,1560,ISO-4217,Deferred Costs,Deferred Costs,86767,85641,1126,Break
2023-01-22,00005,6557347,2873,AFN,Deferred Costs,Deferred Costs,109375,36566,72809,Break
2023-01-10,00006,5295673,3016,INR,Deferred Costs,Principal,95106,76490,18616,Break
2023-01-12,00001,7361774,5982,ALL,Deferred Costs,Deferred Costs,36399,90274,-53875,Break
2023-01-19,00005,3151609,1938,USD,Principal,Principal,40690,66191,-25501,Break
2023-01-06,00006,3827162,1455,EUR,Deferred Costs,Principal,98767,116218,-17451,Break
2023-01-03,00005,5616199,3400,ALL,Principal,Deferred Costs,71326,82557,-11231,Break
2023-01-13,00004,7415467,3857,AFN,Principal,Principal,99068,119211,-20143,Break
2023-01-21,00004,1619519,1593,USD,Deferred Costs,Principal,104692,100405,4287,Break
2023-01-08,00001,5797147,4200,EUR,Principal,Deferred Costs,41241,60962,-19721,Break
2023-01-09,00003,7328041,1019,USD,Principal,Principal,52185,119736,-67551,Break
2023-01-26,00005,8838302,2358,EUR,Deferred Costs,Deferred Costs,44900,42283,2617,Break
2023-01-24,00002,9710059,5264,ISO-4217,Deferred Costs,Deferred Costs,110441,32895,77546,Break
2023-01-29,00004,7606761,1084,AFN,Deferred Costs,Deferred Costs,54789,78578,-23789,Break
2023-01-07,00003,2246594,6659,INR,Deferred Costs,Principal,102905,109409,-6504,Break
2023-01-27,00005,1722530,4431,INR,Principal,Deferred Costs,109284,104362,4922,Break
2023-01-08,00005,6580941,5794,USD,Deferred Costs,Principal,50595,109438,-58843,Break
2023-01-27,00002,7301672,1131,INR,Deferred Costs,Principal,41459,86185,-44726,Break
2023-01-03,00004,9496348,1610,USD,Principal,Deferred Costs,71789,60936,10853,Break
2023-01-27,00005,7481753,5406,ALL,Principal,Principal,107353,100237,7116,Break
2023-01-04,00006,2271029,1979,ALL,Deferred Costs,Deferred Costs,106682,65977,40705,Break
2023-01-14,00001,2813475,2855,ALL,Deferred Costs,Deferred Costs,40018,93839,-53821,Break
2023-01-17,00002,6823559,2290,ALL,Deferred Costs,Deferred Costs,51042,40783,10259,Break
2023-01-03,00002,5555732,1759,AFN,Deferred Costs,Deferred Costs,34548,100680,-66132,Break
2023-01-05,00004,8598818,2185,ALL,Deferred Costs,Principal,66367,86030,-19663,Break
2023-01-08,00004,8181193,5922,USD,Principal,Principal,105049,96396,8653,Break
2023-01-07,00001,3482834,1114,ALL,Principal,Principal,92479,56033,36446,Break
2023-01-13,00004,1608231,2829,USD,Principal,Deferred Costs,50097,68109,-18012,Break
2023-01-22,00001,4019940,6247,INR,Principal,Deferred Costs,116880,49737,67143,Break
2023-01-20,00006,4492360,1218,AFN,Deferred Costs,Deferred Costs,37174,100598,-63424,Break
2023-01-30,00006,7262492,1649,EUR,Deferred Costs,Deferred Costs,70175,63418,6757,Break
2023-01-15,00002,9438966,2401,ISO-4217,Principal,Deferred Costs,61474,44787,16687,Break
2023-01-18,00001,1371394,4678,USD,Principal,Deferred Costs,63703,67961,-4258,Break
2023-01-28,00003,2492077,4848,USD,Deferred Costs,Deferred Costs,45493,83165,-37672,Break
2023-01-28,00006,9538829,1928,INR,Deferred Costs,Principal,49428,64498,-15070,Break
2023-01-22,00003,9933435,6545,ISO-4217,Principal,Principal,79211,69972,9239,Break
2023-01-10,00001,2999114,1622,ALL,Deferred Costs,Principal,84594,108867,-24273,Break
2023-01-18,00002,1964245,5397,EUR,Principal,Principal,68915,112739,-43824,Break
2023-01-09,00002,8002649,3778,ALL,Principal,Deferred Costs,61751,86322,-24571,Break
2023-01-28,00003,2625523,3964,ISO-4217,Deferred Costs,Principal,72532,46504,26028,Break
2023-01-22,00005,3797763,2749,INR,Deferred Costs,Principal,92191,60570,31621,Break
2023-01-06,00003,8551424,3130,USD,Principal,Principal,93014,68955,24059,Break
2023-01-28,00005,4762078,4220,AFN,Principal,Deferred Costs,55002,99914,-44912,Break
2023-01-18,00003,5792679,2208,ISO-4217,Principal,Principal,57434,71417,-13983,Break
2023-01-25,00002,2854598,1546,ISO-4217,Deferred Costs,Principal,79748,38984,40764,Break
2023-01-15,00002,6541084,1898,ISO-4217,Principal,Principal,119861,31414,88447,Break
2023-01-26,00002,3240471,2973,AFN,Deferred Costs,Principal,97995,100630,-2635,Break
2023-01-08,00002,7687919,4184,AFN,Deferred Costs,Deferred Costs,97815,86220,11595,Break
2023-01-27,00002,1430720,2682,USD,Principal,Deferred Costs,99226,76065,23161,Break
2023-01-21,00005,8952327,1430,USD,Principal,Deferred Costs,55335,114576,-59241,Break
2023-01-23,00001,6427933,6641,USD,Principal,Principal,108477,113206,-4729,Break
2023-01-07,00003,9369629,6050,EUR,Principal,Principal,71444,75060,-3616,Break
2023-01-26,00004,9088601,6694,ISO-4217,Deferred Costs,Principal,48175,66328,-18153,Break
2023-01-27,00006,8818628,2046,ALL,Principal,Principal,56257,61030,-4773,Break
2023-01-06,00003,5603533,1804,EUR,Deferred Costs,Principal,99096,102108,-3012,Break
2023-01-17,00004,5933282,1720,EUR,Deferred Costs,Deferred Costs,88952,94905,-5953,Break
2023-01-01,00003,5080735,6545,EUR,Deferred Costs,Principal,103316,107079,-3763,Break
2023-01-17,00002,2708950,1747,INR,Deferred Costs,Deferred Costs,78668,94312,-15644,Break
2023-01-07,00003,9711080,2058,AFN,Principal,Deferred Costs,52140,32718,19422,Break
2023-01-26,00001,8098356,5168,ALL,Deferred Costs,Deferred Costs,94499,55279,39220,Break
2023-01-20,00005,5627932,2919,ISO-4217,Deferred Costs,Principal,75674,38829,36845,Break
2023-01-03,00002,4541722,4539,USD,Deferred Costs,Deferred Costs,114657,117855,-3198,Break
2023-01-17,00004,3608784,6403,EUR,Principal,Principal,89532,110369,-20837,Break
2023-01-19,00001,3760120,5939,AFN,Deferred Costs,Deferred Costs,34632,54515,-19883,Break
2023-01-08,00002,2637879,2806,AFN,Principal,Deferred Costs,42221,36876,5345,Break
2023-01-08,00006,8144394,5929,INR,Principal,Deferred Costs,73633,36883,36750,Break
2023-01-10,00004,4723323,3359,ALL,Principal,Principal,77940,104973,-27033,Break
2023-01-10,00005,9319400,5749,AFN,Principal,Deferred Costs,105251,77318,27933,Break
2023-01-27,00002,3992535,3409,ALL,Principal,Principal,49825,34374,15451,Break
2023-01-12,00001,4413241,5992,ALL,Deferred Costs,Deferred Costs,67308,106939,-39631,Break
2023-01-13,00001,2666438,5215,ALL,Principal,Principal,50982,110408,-59426,Break
2023-01-19,00006,6484785,2100,EUR,Principal,Principal,64000,56580,7420,Break
2023-01-14,00005,7877392,4027,AFN,Deferred Costs,Principal,112740,31969,80771,Break
2023-01-24,00002,8564423,3586,USD,Principal,Principal,65187,41611,23576,Break
2023-01-12,00005,6119051,4590,AFN,Deferred Costs,Deferred Costs,110865,117709,-6844,Break
2023-01-19,00005,1815678,6138,AFN,Deferred Costs,Deferred Costs,90523,50856,39667,Break
2023-01-15,00006,4843657,6947,INR,Principal,Deferred Costs,86151,70673,15478,Break
2023-01-26,00005,2541287,3610,ISO-4217,Principal,Principal,52186,108735,-56549,Break
2023-01-24,00002,2919076,3023,EUR,Deferred Costs,Deferred Costs,70743,63497,7246,Break
2023-01-05,00003,8251547,3455,ISO-4217,Principal,Principal,81676,104939,-23263,Break
2023-01-02,00003,3176483,1676,ALL,Principal,Principal,103122,62121,41001,Break
2023-01-24,00005,4772049,2592,ISO-4217,Principal,Deferred Costs,110856,51181,59675,Break
2023-01-20,00002,6893043,1024,EUR,Principal,Deferred Costs,103129,59894,43235,Break
2023-01-15,00004,6631903,2619,ALL,Principal,Principal,40582,101095,-60513,Break
2023-01-05,00005,1562343,6366,AFN,Principal,Principal,68113,32002,36111,Break
2023-01-21,00004,2967753,2124,AFN,Deferred Costs,Principal,30756,72183,-41427,Break
2023-01-30,00002,7555774,2060,AFN,Deferred Costs,Deferred Costs,76065,80126,-4061,Break
2023-01-22,00001,5306288,2955,INR,Deferred Costs,Deferred Costs,61329,59064,2265,Break
2023-01-08,00006,5314465,6302,ALL,Deferred Costs,Deferred Costs,119004,71249,47755,Break
2023-01-10,00001,6013572,5943,AFN,Principal,Deferred Costs,89441,38639,50802,Break
2023-01-14,00005,1905297,4763,AFN,Deferred Costs,Deferred Costs,62336,43450,18886,Break
2023-01-03,00005,2026815,2585,AFN,Principal,Deferred Costs,109066,100864,8202,Break
2023-01-13,00003,6981801,6819,EUR,Deferred Costs,Principal,40947,61043,-20096,Break
2023-01-03,00001,1966098,2584,AFN,Deferred Costs,Principal,83992,74630,9362,Break
2023-01-18,00001,4905929,2264,EUR,Principal,Principal,96226,84467,11759,Break
2023-01-29,00003,4787493,2817,AFN,Principal,Principal,51208,42047,9161,Break
2023-01-24,00005,3725420,5559,EUR,Deferred Costs,Deferred Costs,67870,47807,20063,Break
2023-01-18,00004,6842529,3250,AFN,Principal,Principal,116651,89972,26679,Break
2023-01-11,00006,3601566,6246,USD,Deferred Costs,Principal,90471,82254,8217,Break
2023-01-20,00002,9858746,1879,INR,Deferred Costs,Deferred Costs,61638,89381,-27743,Break
2023-01-21,00003,3520402,5747,ISO-4217,Principal,Principal,79933,67966,11967,Break
2023-01-18,00003,9488228,4149,EUR,Principal,Principal,94793,50794,43999,Break
2023-01-14,00003,5843623,1961,AFN,Deferred Costs,Deferred Costs,75869,98033,-22164,Break
2023-01-11,00004,7991966,5140,AFN,Principal,Deferred Costs,112910,91449,21461,Break
2023-01-17,00002,7905552,3507,USD,Principal,Deferred Costs,97342,70547,26795,Break
2023-01-22,00002,8475635,5887,ALL,Deferred Costs,Principal,31417,90804,-59387,Break
2023-01-21,00005,3860648,2438,EUR,Principal,Deferred Costs,32715,43664,-10949,Break
2023-01-09,00002,7116094,5694,ISO-4217,Deferred Costs,Principal,84092,56336,27756,Break
2023-01-30,00003,6004664,3869,USD,Principal,Principal,109517,62386,47131,Break
2023-01-03,00001,2912734,1621,ALL,Principal,Principal,99243,63062,36181,Break
2023-01-21,00005,9700149,2364,ISO-4217,Deferred Costs,Deferred Costs,57154,109275,-52121,Break
2023-01-06,00002,4461208,5280,ISO-4217,Principal,Deferred Costs,58728,80874,-22146,Break
2023-01-02,00005,9329729,3905,EUR,Deferred Costs,Deferred Costs,45171,31458,13713,Break
2023-01-09,00005,5846601,4176,INR,Deferred Costs,Principal,59813,106137,-46324,Break
2023-01-22,00001,8283365,1696,ALL,Deferred Costs,Deferred Costs,45924,113335,-67411,Break
2023-01-23,00003,8493237,3690,AFN,Deferred Costs,Deferred Costs,42731,32446,10285,Break
2023-01-04,00001,1265583,6901,AFN,Principal,Principal,76917,107815,-30898,Break
2023-01-29,00004,5016444,6361,AFN,Principal,Principal,84962,89685,-4723,Break
2023-01-10,00001,5238362,1249,INR,Principal,Deferred Costs,65476,107002,-41526,Break
2023-01-07,00004,9421104,3420,INR,Principal,Deferred Costs,41414,56399,-14985,Break
2023-01-26,00004,6826913,1480,USD,Principal,Deferred Costs,97291,116669,-19378,Break
2023-01-09,00005,6418092,2405,INR,Principal,Principal,31953,107347,-75394,Break
2023-01-08,00004,3181529,3526,ISO-4217,Deferred Costs,Principal,105113,43213,61900,Break
2023-01-14,00006,9927689,6299,USD,Deferred Costs,Principal,106748,32091,74657,Break
2023-01-27,00003,6362818,5765,EUR,Deferred Costs,Deferred Costs,85037,96217,-11180,Break
2023-01-02,00004,3406194,3569,AFN,Deferred Costs,Principal,105148,108764,-3616,Break
2023-01-14,00006,3895598,5206,AFN,Deferred Costs,Deferred Costs,87695,56259,31436,Break
2023-01-28,00004,3143240,5200,EUR,Deferred Costs,Principal,31661,70688,-39027,Break
2023-01-06,00006,1865917,5125,ALL,Principal,Deferred Costs,63457,35546,27911,Break
2023-01-08,00004,8011529,6987,EUR,Deferred Costs,Deferred Costs,57665,82553,-24888,Break
2023-01-18,00006,8678134,3764,ALL,Deferred Costs,Deferred Costs,39819,62241,-22422,Break
2023-01-16,00002,4495301,6535,INR,Deferred Costs,Deferred Costs,50045,92935,-42890,Break
2023-01-15,00002,5264725,3633,INR,Deferred Costs,Deferred Costs,98693,92735,5958,Break
2023-01-06,00006,5297750,2744,AFN,Deferred Costs,Principal,33154,45391,-12237,Break
2023-01-03,00005,6145535,1289,ALL,Deferred Costs,Deferred Costs,95013,45847,49166,Break
2023-01-27,00004,2258758,3358,ISO-4217,Deferred Costs,Principal,103220,72487,30733,Break
2023-01-12,00004,2194710,2489,ISO-4217,Principal,Principal,77727,95487,-17760,Break
2023-01-17,00006,8459899,6083,USD,Deferred Costs,Deferred Costs,117618,49204,68414,Break
2023-01-21,00006,8783983,4215,AFN,Principal,Deferred Costs,44889,80253,-35364,Break
2023-01-29,00005,6602963,6417,USD,Deferred Costs,Deferred Costs,71807,66455,5352,Break
2023-01-22,00005,7876629,3058,EUR,Deferred Costs,Principal,36958,91241,-54283,Break
2023-01-26,00002,5666739,6198,ALL,Deferred Costs,Principal,47948,105760,-57812,Break
2023-01-01,00001,5472650,1668,INR,Deferred Costs,Principal,96380,73903,22477,Break
2023-01-03,00004,2722545,2349,ALL,Deferred Costs,Principal,42887,43556,-669,Break
2023-01-17,00003,6018888,3251,AFN,Principal,Principal,81099,106639,-25540,Break
2023-01-20,00001,9157178,1309,EUR,Principal,Principal,110679,91689,18990,Break
2023-01-24,00006,1158792,6485,EUR,Deferred Costs,Principal,73209,87477,-14268,Break
2023-01-22,00003,7939766,3299,ISO-4217,Deferred Costs,Deferred Costs,67596,62797,4799,Break
2023-01-25,00005,8247112,3404,INR,Deferred Costs,Principal,93250,60943,32307,Break
2023-01-29,00001,5449796,3275,ISO-4217,Principal,Deferred Costs,114328,50527,63801,Break
2023-01-13,00001,1605363,1643,INR,Deferred Costs,Principal,87403,49319,38084,Break
2023-01-28,00002,8975462,1405,ALL,Principal,Principal,98608,59241,39367,Break
2023-01-20,00001,9613066,4470,INR,Deferred Costs,Principal,73803,69235,4568,Break
2023-01-21,00003,9214319,5355,ISO-4217,Principal,Principal,34701,78869,-44168,Break
2023-01-16,00003,8914931,1510,ALL,Principal,Principal,72855,94535,-21680,Break
2023-01-03,00004,1402454,1981,AFN,Principal,Deferred Costs,81188,110070,-28882,Break
2023-01-26,00001,3759041,6727,EUR,Principal,Principal,49084,60568,-11484,Break
2023-01-11,00002,5918103,4867,ISO-4217,Deferred Costs,Deferred Costs,115686,110520,5166,Break
2023-01-22,00005,8276435,3064,ISO-4217,Deferred Costs,Deferred Costs,114593,77980,36613,Break
2023-01-24,00005,5998674,4737,AFN,Deferred Costs,Deferred Costs,56308,119147,-62839,Break
2023-01-25,00001,9582333,6620,AFN,Deferred Costs,Principal,76047,60957,15090,Break
2023-01-22,00002,7018672,6055,ISO-4217,Deferred Costs,Principal,65855,81003,-15148,Break
